hour,vS,sumP,u0,winners
8,2514.101689210464,1284.4865806773162,1229.6151085331478,11
9,2020.0833065399565,944.4078817465667,1075.67542479339,9
10,2667.615142315306,1337.4894759592087,1330.1256663560973,12
11,2581.224349293135,1463.3226336067141,1117.901715686421,10
12,2442.6675125238053,1182.425646507524,1260.2418660162812,15
13,3938.319505363011,1797.3537925595024,2140.9657128035087,14
14,3297.7370479832252,1622.3097284745381,1675.427319508687,17
15,2814.3381975721,1528.7317208431712,1285.6064767289288,15
16,2969.890427658683,1585.1124235233174,1384.7780041353658,13
17,2564.289181664783,1443.9262446280302,1120.3629370367528,12
18,2385.674563589641,1186.7502954570757,1198.9242681325652,11
19,2285.943024960128,1094.0441434005666,1191.8988815595612,11
