ora,v_mech,sumP,u0_mech,v_eff,u0_eff,eff_ratio,vincitori,utenti_attivi,defezioni_rilevate,defezioni_totali
8,1118.9762197944622,615.8645094701055,503.11171032435664,1067.0387300590974,451.17422058899183,0.9535848136746776,54,133,1,4
9,1134.8772688844288,593.4010602751158,541.476208609313,1081.596478795434,488.1954185203182,0.9530514959195815,56,133,2,3
10,1084.0983554198617,575.8038480600043,508.29450735985745,995.6589918831348,419.85514382313056,0.9184212732225066,51,126,2,5
11,1114.9032141345738,537.0458494216987,577.8573647128751,1048.5419128529968,511.4960634312981,0.9404779711456039,54,126,1,4
12,1137.2047141820153,601.3407919935604,535.8639221884549,1073.815243973344,472.47445197978357,0.9442585231857159,55,130,2,5
13,1366.2995528394074,824.5966253822975,541.7029274571099,1319.9612847521473,495.36465936984985,0.9660848398940327,69,135,2,4
14,1242.1863125841762,689.7300451312676,552.4562674529086,1193.6144581249869,503.88441299371925,0.9608980923657554,62,136,3,5
15,1189.5184267890493,586.8528803205124,602.6655464685368,1066.3818960599342,479.52901573942177,0.8964820317567453,61,133,6,9
16,1188.6772992094152,695.5911172180213,493.0861819913939,1076.5881178732934,380.99700065527213,0.9057025978281306,60,134,2,6
17,1107.7246783361945,603.6555998721301,504.06907846406443,1087.9191196417892,484.26351976965907,0.9821205042356252,52,130,0,1
18,1151.8854088334958,615.9325256590893,535.9528831744066,1072.3584355485098,456.4259098894205,0.9309593014416926,54,128,3,5
19,1182.0189130731599,682.7012061692253,499.31770690393455,1129.1965644668066,446.49535829758133,0.955311756840659,55,125,1,3
