ora,v_mech,sumP,u0_mech,v_eff,u0_eff,eff_ratio,vincitori,utenti_attivi,defezioni_rilevate,defezioni_totali
8,1088.4671967487056,717.0488210555493,371.41837569315635,965.26230558692,248.21348453137068,0.8868088156172244,50,133,3,6
9,1032.0162405135811,585.3358560050142,446.68038450856693,919.2699379020386,333.9340818970244,0.8907514260091154,49,133,3,7
10,999.8920180996345,646.6561817860884,353.2358363135461,939.1954585308321,292.5392767447437,0.9392968855935458,45,126,3,4
11,1016.9427621329231,628.451092456669,388.4916696762541,965.755697219653,337.304604762984,0.9496657365396741,47,127,1,3
12,1100.6999591775493,707.3961752297956,393.3037839477537,941.8821297679434,234.48595453814778,0.8557119693833043,53,131,4,9
13,1210.8971040721508,823.0291665439355,387.8679375282153,1137.1790848002156,314.1499182562801,0.9391211532144,55,135,3,5
14,1186.1564447812025,756.8660645253782,429.2903802558243,999.1173276852146,242.2512631598364,0.842314967878888,54,136,4,10
15,1106.7556045161116,698.9668250764468,407.78877943966484,910.2572150777295,211.29039000128273,0.8224554828215269,54,133,4,12
16,1068.8304886733551,686.1985742649204,382.6319144084348,1003.6319199768025,317.4333457118821,0.9390000852450626,52,135,3,5
17,1061.9093361332393,668.9308351070778,392.97850102616155,960.4621691203552,291.5313340132774,0.9044672049100853,49,130,3,5
18,1113.5573572422443,722.3736555765898,391.18370166565444,947.6826915956534,225.30903601906357,0.8510407528020073,48,128,5,8
19,1055.6972602324222,682.9692556671561,372.72800456526613,881.5457863658611,198.57653069870503,0.8350365389522562,44,126,3,8
