ora,v_mech,sumP,u0_mech,v_eff,u0_eff,eff_ratio,vincitori,utenti_attivi,defezioni_rilevate,defezioni_totali
8,1082.4915335393662,696.6875257428236,385.8040077965426,976.84771646469,280.16019072186646,0.9024067959873477,54,133,4,6
9,1072.9556415520215,591.5558124518458,481.3998291001757,1029.2718053464648,437.71599289461903,0.9592864471616288,52,133,2,3
10,1027.32384740032,637.295944410627,390.02790298969285,901.6684890282506,264.3725446176236,0.8776867112643743,46,126,4,7
11,1018.594203510252,599.0451938943463,419.5490096159057,883.0914075058984,284.04621361155205,0.866970776451125,49,126,2,7
12,1111.3995311724682,655.3159866714782,456.08354450099,979.7186386490781,324.40265197759993,0.8815179520685297,51,131,5,9
13,1264.0552317137106,804.2340265817672,459.8212051319433,1153.4937837037103,349.25975712194304,0.9125343218902631,62,135,3,6
14,1250.9431074437316,782.7176359136345,468.22547153009714,1086.2128318748482,303.49519596121377,0.8683151339268296,57,136,3,8
15,1155.3265732454531,687.6652779142247,467.6612953312284,1064.7425811183477,377.07730320412304,0.9215944701482596,56,133,2,5
16,1082.8564755849304,691.0769580751042,391.7795175098262,941.0947232573587,250.0177651822545,0.8690853723241617,52,135,3,9
17,982.2435979461761,565.0227410711218,417.2208568750543,860.7728382546593,295.7500971835375,0.876333365831545,45,131,3,6
18,1040.601295140267,603.3600167194159,437.24127842085113,917.5233553294131,314.16333860999725,0.8817242104294483,45,128,3,6
19,1084.0755997598187,642.360212728656,441.71538703116266,1012.3824745817155,370.0222618530595,0.9338670428575395,47,125,1,4
