ora,v_mech,u0_eff,v_eff,sumP_final,tasso_compl,mae_rho,incentivo_eur,vincitori,n_idonei,health_score,feedback_tasks
8,1165.52,188.77,1051.80,863.04,0.8961,0.1728,287.68,56,134,0.8750,241
9,1149.41,406.12,1075.28,669.16,0.9182,0.1871,89.16,51,133,1.0000,242
10,1142.29,364.46,1045.30,680.84,0.9100,0.1982,93.60,56,126,0.6250,249
11,1167.66,400.32,1050.96,650.65,0.8850,0.2111,14.28,56,126,0.8750,245
12,1153.73,356.52,1003.77,647.25,0.8558,0.2221,25.98,54,130,0.5000,227
13,1392.18,493.62,1300.18,806.56,0.9309,0.2331,-45.44,63,135,1.0000,292
14,1296.37,431.09,1094.81,663.72,0.8340,0.2430,-53.62,54,136,0.5000,233
15,1229.09,551.89,1133.07,581.18,0.9072,0.2527,-94.81,52,133,1.0000,253
16,1111.95,411.31,887.18,475.87,0.7674,0.2557,-75.47,44,128,0.8750,190
17,962.46,393.34,857.73,464.39,0.8889,0.2575,-42.15,40,120,0.8750,191
18,978.39,372.56,829.07,456.51,0.8258,0.2629,-69.64,40,115,0.8750,172
19,839.90,321.98,679.34,357.36,0.8000,0.2636,-29.39,32,105,0.5000,142
