user_id,rho_reale,rho_stimato,rho_std,rep_aggregata,rep_affidabilita,rep_qualita,rho_alpha,rho_beta,rho_obs_count,mdr_obs_count,profilo_onesta,blacklist_strikes
7,0.8824,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Quasi-Rational,0
8,0.8346,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Quasi-Rational,0
11,0.8606,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Quasi-Rational,0
12,0.8662,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Quasi-Rational,0
13,0.8449,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
14,0.8904,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Quasi-Rational,0
19,0.8567,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
24,0.8409,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Quasi-Rational,0
31,0.8654,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Quasi-Rational,0
43,0.8797,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Quasi-Rational,0
45,0.8401,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Quasi-Rational,0
46,0.8484,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Quasi-Rational,0
47,0.8996,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Quasi-Rational,0
50,0.8737,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Quasi-Rational,0
51,0.8579,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Quasi-Rational,0
58,0.8638,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
59,0.8341,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
61,0.8419,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Quasi-Rational,0
65,0.8504,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Quasi-Rational,0
