ora,v_mech,u0_eff,v_eff,sumP_final,tasso_compl,mae_rho,incentivo_eur,vincitori,n_idonei,health_score,feedback_tasks
8,1207.55,2.07,946.95,944.88,0.7625,0.2138,314.96,49,134,0.5000,206
9,1238.35,105.26,897.01,791.75,0.7119,0.2013,103.86,48,133,0.5000,192
10,1181.56,239.34,975.48,736.14,0.8100,0.1909,88.62,47,126,0.8750,210
11,1206.56,181.57,872.82,691.25,0.6897,0.1801,66.62,47,126,0.8750,193
12,1231.07,166.28,863.42,697.14,0.6856,0.1701,54.56,44,130,0.5000,172
13,1425.26,84.80,863.42,778.62,0.5603,0.1633,-9.60,50,135,0.5000,176
14,1337.30,133.38,879.04,745.65,0.6464,0.1562,-12.04,49,136,0.5000,191
15,1205.03,134.02,634.50,500.48,0.5000,0.1475,-33.07,38,133,0.5000,128
16,1205.40,164.06,754.25,590.19,0.5546,0.1425,-45.09,39,132,0.5000,147
17,1138.29,126.18,658.97,532.79,0.5668,0.1392,-43.02,36,127,0.5000,135
18,1093.15,170.25,628.24,458.00,0.5423,0.1357,-50.87,32,120,0.5000,118
19,1068.95,189.47,610.45,420.98,0.5497,0.1331,-64.87,29,115,0.5000,117
