user_id,rho_reale,rho_stimato,rho_std,rep_aggregata,rep_affidabilita,rep_qualita,rho_alpha,rho_beta,rho_obs_count,mdr_obs_count,profilo_onesta,blacklist_strikes
7,0.5680,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
8,0.3449,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
11,0.4663,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Opportunistic,0
12,0.4924,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Moderate,0
13,0.3928,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
14,0.6054,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
19,0.4481,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Opportunistic,0
24,0.3741,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Opportunistic,0
31,0.4888,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Moderate,0
43,0.5555,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Moderate,0
45,0.3704,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Opportunistic,0
46,0.4091,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
47,0.6483,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Moderate,0
50,0.5275,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Moderate,0
51,0.4533,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
58,0.4812,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Moderate,0
59,0.3424,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
61,0.3786,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Opportunistic,0
65,0.4183,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
66,0.5059,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Moderate,0
67,0.3805,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
68,0.3771,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
70,0.3248,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Opportunistic,0
71,0.5209,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
72,0.3801,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Opportunistic,0
