ora,v_mech,u0_eff,v_eff,sumP_final,tasso_compl,mae_rho,incentivo_eur,vincitori,n_idonei,health_score,feedback_tasks
8,1193.26,125.19,1014.84,889.64,0.8270,0.1620,296.55,53,134,0.8750,236
9,1221.78,311.66,1062.60,750.94,0.8534,0.1662,94.75,53,133,0.8750,246
10,1157.73,254.67,897.72,643.05,0.7581,0.1730,74.74,50,126,0.5000,209
11,1173.03,319.96,940.03,620.07,0.7689,0.1771,29.72,47,126,0.8750,214
12,1178.27,257.93,861.26,603.33,0.6941,0.1802,16.64,48,130,0.5000,173
13,1420.62,241.99,1022.12,780.13,0.7067,0.1808,3.07,55,135,0.5000,222
14,1321.14,336.62,1025.87,689.25,0.7829,0.1807,-48.37,55,136,0.5000,230
15,1217.52,397.07,945.74,548.67,0.7702,0.1852,-72.26,46,133,0.8750,205
16,1125.55,258.52,771.06,512.55,0.6468,0.1823,-42.64,40,129,0.5000,161
17,1047.63,314.51,763.01,448.50,0.7157,0.1778,-40.31,38,123,0.5000,164
18,1025.89,343.79,728.49,384.70,0.6720,0.1833,-53.75,33,116,0.5000,150
19,986.25,216.06,617.05,400.99,0.6337,0.1828,-51.99,29,109,0.5000,124
