user_id,rho_reale,rho_stimato,rho_std,rep_aggregata,rep_affidabilita,rep_qualita,rho_alpha,rho_beta,rho_obs_count,mdr_obs_count,profilo_onesta,blacklist_strikes
7,0.4975,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Moderate,0
8,0.7462,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Honest,0
11,0.8027,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Honest,0
12,0.6871,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Bounded Honest,0
13,0.6027,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
14,0.8484,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Quasi-Rational,0
19,0.4137,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
24,0.7406,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Bounded Honest,0
31,0.8419,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
43,0.7530,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Honest,0
45,0.8415,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Quasi-Rational,0
46,0.8723,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Quasi-Rational,0
47,0.8929,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Quasi-Rational,0
50,0.3124,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Opportunistic,0
51,0.8752,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Quasi-Rational,0
58,0.8349,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Quasi-Rational,0
59,0.3999,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
61,0.7873,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Honest,0
65,0.3333,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Opportunistic,0
66,0.8573,0.5167,0.1102,0.2725,0.2725,0.2725,6.50,11.50,8,8,Quasi-Rational,0
67,0.7317,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Honest,0
68,0.5928,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Moderate,0
70,0.3172,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Opportunistic,0
71,0.7094,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Honest,0
72,0.3435,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
74,0.8586,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Quasi-Rational,0
78,0.6987,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Honest,0
80,0.8942,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Quasi-Rational,0
83,0.8007,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Honest,0
84,0.4839,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Moderate,0
91,0.4463,0.5437,0.1191,0.3771,0.3771,0.3771,6.50,9.50,6,6,Bounded Opportunistic,0
92,0.4621,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
93,0.3291,0.6250,0.1382,0.7225,0.7225,0.7225,6.50,5.50,2,2,Bounded Opportunistic,0
94,0.6874,0.6900,0.1438,1.0000,1.0000,1.0000,6.50,3.50,0,0,Bounded Honest,0
95,0.6603,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Honest,0
96,0.8224,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Honest,0
99,0.7872,0.5786,0.1288,0.5220,0.5220,0.5220,6.50,7.50,4,4,Bounded Honest,0
101,0.7240,0.5600,0.1239,0.4437,0.4437,0.4437,6.50,8.50,5,5,Bounded Honest,0
102,0.4742,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Opportunistic,0
103,0.6007,0.6545,0.1419,0.8500,0.8500,0.8500,6.50,4.50,1,1,Bounded Moderate,0
104,0.8473,0.6000,0.1336,0.6141,0.6141,0.6141,6.50,6.50,3,3,Quasi-Rational,0
109,0.4014,0.5294,0.1145,0.3206,0.3206,0.3206,6.50,10.50,7,7,Bounded Opportunistic,0
